id,title,original_title,overview,release_date,runtime,vote_average,vote_count,popularity,poster_path,backdrop_path,budget,revenue,status,tagline,imdb_id,homepage,adult,genres,production_countries,production_companies,spoken_languages,keywords,top_cast,directors
1233069,Вне юрисдикции,Exterritorial,"Когда сын бывшего офицера спецназа Сары пропадает в консульстве США, она делает всё, что в ее силах, чтобы найти его, раскрывая ужасный заговор.",2025-04-29,109,6.723,233,505.1585,/dgVev262tR4A6X2b2Vwx1hNxFNp.jpg,/bVm6udIB6iKsRqgMdQh6HywuEBj.jpg,0,0,Released,,tt30876483,https://www.netflix.com/ru/title/81571720,False,триллер|боевик,Germany|Austria,Constantin Television|Epo-Film,Deutsch|English,"frankfurt am main, germany|conspiracy|missing child|consulate",Jeanne Goursaud|Dougray Scott|Lera Abova|Emanuel Fellmer|Annabelle Mandeng,Christian Zübert
1241436,Под огнём,Warfare,"Ирак, 2006 год. Боевая группа «морских котиков» оказывается глубоко на вражеской территории. Они — элитные бойцы, закаленные тысячами часов изнурительных тренировок, но это не смогло подготовить их к осаде, в которую они попали.",2025-04-09,95,7.2,150,436.2016,/4DJTsYlA6gdB1lKBqU7PsbPFkKq.jpg,/cJvUJEEQ86LSjl4gFLkYpdCJC96.jpg,20000000,29503791,Released,Все основано на памяти.,tt31434639,,False,военный|боевик,United Kingdom|United States of America,DNA Films|A24,English|Türkçe,u.s. navy seal|docudrama|iraq war|platoon|real time|2000s|intense|ambiguous,D'Pharaoh Woon-A-Tai|Уилл Портер|Космо Джарвис|Кит Коннор|Finn Bennett,Ray Mendoza|Алекс Гарленд
986056,Громовержцы*,Thunderbolts*,Команда злодеев отправляется на задание по приказу правительства.,2025-04-30,127,7.558,635,417.2589,/l4UtldCA7OgORWY9UcyWBqaHWHF.jpg,/rthMuZfFv4fqEU4JVbgSW9wQ8rs.jpg,180000000,177327963,Released,"«Будьте Осторожны, Выбирая Компанию»",tt20969586,,False,боевик|приключения|фантастика,United States of America,Marvel Studios|Kevin Feige Productions,English|Italiano|Pусский,new york city|villain|based on comic|mental health|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe (mcu)|congressman|father daughter relationship|impeachment|survivor's guilt|antihero|ragtag|band of misfits|antagonistic|bold,Флоренс Пью|Себастиан Стэн|Джулия Луи-Дрейфус|Льюис Пуллман|Дэвид Харбор,Джейк Шрейер
1197306,Мастер,A Working Man,"Левон Кейд — рабочий на стройке, но когда дочь директора стройки похищают неизвестные, он обращается за помощью именно к Левону. Пришло время сбросить маски и проявить свои истинные навыки.",2025-03-26,116,6.505,591,363.5091,/zmcXyVExW9vVIKOgzeDpPTWJySF.jpg,/fTrQsdMS2MUw00RnzH0r3JWHhts.jpg,40000000,89722806,Released,«В своём деле он — лучший»,tt9150192,,False,боевик|криминал|триллер,United Kingdom|United States of America,Cedar Park Entertainment|BlockFilm|Punch Palace Productions|Balboa Productions|Black Bear Pictures|Fifth Season|CAT5,English|Pусский|Español,based on novel or book|kidnapping|vigilante|missing person|black ops|construction worker|criminal conspiracy|absurd,Джейсон Стэтхэм|Джейсон Флеминг|Merab Ninidze|Максимилиан Осински|Cokey Falkow,David Ayer
1144430,Шальная пуля 3,Balle perdue 3,"Лино - мастер автотюнинга, способный превратить любое транспортное средство в стремительную, неуязвимую машину. В прошлом - преступник, ныне - охотник за коррумпированными полицейскими, он движется только вперёд, не оглядываясь на былые ошибки. Жёсткий, непоколебимый, преданный своим принципам, он не боится идти против системы, если на кону - справедливость.",2025-05-06,111,7.4,32,360.8958,/lGfNxGJkRHIzLxnpw6PrweblWgX.jpg,/4A5HH9HkCPqAwyYL6CnA0mxbYjn.jpg,0,0,Released,,tt29768333,,False,боевик|криминал|триллер,Belgium|France,Inoxy Films|Versus Production|Nolita,Français,,Alban Lenoir|Stéfi Celma|Nicolas Duvauchelle|Gérard Lanvin|Pascale Arbillot,Guillaume Pierret
710258,Раст,Rust,"События разворачиваются в 1880-е годы в американском штате Канзас. После смерти родителей 13-летний Лукас Холлистер и его младший брат остаются сиротами. Однажды Лукас случайно убивает местного фермера, и за это мальчика приговаривают к смертной казни. На помощь приходит его дед — известный преступник Харланд Раст, который вызволяет внука из тюрьмы. Вместе пара беглецов направляется в Мексику, но по пятам их преследуют маршал США Вуд Хелм и охотник за головами по прозвищу «Проповедник».",2025-05-01,133,6.4,34,302.2244,/tPwplkUXq8nT3I0POPf8PNQ0B82.jpg,/12tEzU0bNYKIjXXEwI5abuOotHF.jpg,0,0,Released,,tt11001074,,False,вестерн,United States of America,El Dorado Pictures|Cavalry Media|BondIt Media Capital|Highland Film Group,English,western,Алек Болдуин|Josh Hopkins|Patrick Scott McDermott|Трэвис Фиммел|Фрэнсис Фишер,Joel Souza
950387,Minecraft в Кино,A Minecraft Movie,"Четыре неудачника — Гарретт «Мусорщик» Гаррисон, Генри, Натали и Дон, сталкиваются с обычными проблемами, когда их внезапно затягивает через таинственный портал в Верхний мир: странную кубическую страну чудес, которая процветает благодаря воображению. Чтобы вернуться домой, им придётся освоить этот мир, отправляясь в магическое путешествие с неожиданным экспертом-ремесленником Стивом. Это приключение бросит вызов всем пятерым, заставит их проявить смелость и восстановить качества, которые делают каждого из них уникальным творческим человеком.",2025-03-31,101,6.165,842,276.6921,/3txl2FUNZCQUnHQPzkuNc17yLIs.jpg,/2Nti3gYAX513wvhp8IiLL6ZDyOm.jpg,150000000,874636560,Released,«Дайте Волю Своему Воображению»,tt3566834,,False,семейный|комедия|приключения|фэнтези,Sweden|United States of America,Warner Bros. Pictures|Legendary Pictures|Mojang Studios|Vertigo Entertainment|On the Roam|Domain Entertainment,English,friendship|surrealism|exploration|portal|miner|friends|survival|zombie|blunt|based on video game|aftercreditsstinger|duringcreditsstinger|journey|frantic|live action and animation|imagination|teamwork|fantasy|building,Джейсон Момоа|Джек Блэк|Себастьян Юджин Хансен|Эмма Майерс|Даниэль Брукс,Джаред Хесс
668489,Опустошение,Havoc,"Ограбление, связанное с наркотиками, выходит из-под контроля, и полицейский пробивается сквозь преступный мир коррумпированного города, чтобы спасти сына политика.",2025-04-24,104,6.574,549,238.6355,/tgSmrSZHMtI0PFBiDIrjfRV3qAm.jpg,/65MVgDa6YjSdqzh7YOA04mYkioo.jpg,90000000,0,Released,«Нет закона. Только беспорядок»,tt14123284,https://www.netflix.com/ru/title/81330790,False,боевик|криминал|триллер,United Kingdom|United States of America,XYZ Films|Severn Screen|One More One Productions,English|广州话 / 廣州話,winter|detective|rescue mission|shootout|dirty cop|criminal underworld|crooked politician|estranged son|aggressive|insecure|christmas|grim|drug deal|night club|brutal violence,Том Харди|Джесси Мей Ли|Тимоти Олифант|Форест Уитакер|Джастин Корнвэлл,Гарет Эванс
37135,Тарзан,Tarzan,"Тарзан вырос среди горилл, в таинственных джунглях, где не ступала нога человека. Враждебное царство диких животных долго не хотело признавать хрупкого мальчика. Вскоре на глазах у всех слабый малыш превратился в храброго юношу и стал быстрее пантеры, сильнее тигра, зорче орла. Но когда Тарзан становится настоящим королем джунглей, происходит неожиданная встреча, которая полностью меняет его жизнь…",1999-06-18,88,7.4,6923,242.8597,/byKoqGVrtMoU1SN9TmClqOCZMvT.jpg,/86z1Yrwj7yN1xehSa0gIwHnR7xl.jpg,130000000,448200000,Released,Бессмертная легенда. Как вы только могли себе представить,tt0120855,,False,семейный|приключения|мультфильм|драма,United States of America,Walt Disney Pictures|Edgar Rice Burroughs Inc.|Walt Disney Feature Animation,English,baby|africa|gorilla|adoption|cartoon|villain|feral child|tarzan|nest|anthropomorphism|jungle|camp|orphan,Тони Голдуин|Минни Драйвер|Гленн Клоуз|Alex D. Linz|Rosie O'Donnell,Chris Buck|Kevin Lima
822119,Капитан Америка: Новый Мир,Captain America: Brave New World,"Новый президент США Таддеус Росс решает назначить Капитана Америку на официальную должность. Но в прошлом между ними были разногласия, и Сэм сомневается, что это хорошая идея. Этим же вечером на президента совершается покушение. Уилсон уверен, что предатель скрывается среди ближайшего окружения Росса.",2025-02-12,119,6.148,1763,212.8605,/iiSmC2zp5d2PFn6osFMRmLiaCXw.jpg,/8eifdha9GQeZAkexgtD45546XKx.jpg,180000000,414757293,Released,«Войдите в Новый Мир»,tt14513804,,False,боевик|триллер|фантастика,United States of America,Marvel Studios|Kevin Feige Productions,English|日本語|Español,hero|superhero|revenge|aftercreditsstinger|marvel cinematic universe (mcu)|sidekick|assassination attempt|political thriller|treaty|international relations,Энтони Маки|Харрисон Форд|Дэнни Рамирес|Шира Хаас|Тим Блейк Нельсон,Джулиус Она
